Champion,G,PB%,B,G,By,W,L,WR,K,D,A,KDA,CS,CS/M,G,G/M,KPAR,KS,GS,As
LeBlanc,51,66.20%,34,17,10,12,5,70.60%,4.18,2,4.71,4.44,285.29,8.43,13.6,400,61.90%,29.10%,21.40%,
,,,,,,,,,,,,,,,,,,,,
Lee Sin,24,31.20%,7,17,7,9,8,52.90%,2.71,2.06,5,3.74,151.71,4.96,10.2,333,69.30%,24.30%,18.80%,
,,,,,,,,,,,,,,,,,,,,
Leona,13,16.90%,2,11,8,7,4,63.60%,1,3,8.45,3.15,57.55,1.82,7.9,249,70.30%,7.40%,13.60%,
,,,,,,,,,,,,,,,,,,,,
Lissandra,43,55.80%,21,22,10,7,15,31.80%,2,2.77,5.09,2.56,271.36,8.81,11.5,373,66.40%,18.70%,21.70%,
,,,,,,,,,,,,,,,,,,,,
Lucian,23,29.90%,8,15,6,9,6,60%,3.33,1.73,4.6,4.58,319.13,10.19,13.8,442,64.70%,27.20%,24.70%,
,,,,,,,,,,,,,,,,,,,,
Lulu,1,1.30%,-,1,1,0,1,0%,0,0,5,5,332,9.36,12.7,359,100%,0%,21.30%,
,,,,,,,,,,,,,,,,,,,,
Malzahar,3,3.90%,2,1,1,0,1,0%,0,3,4,1.33,321,9.21,12,344,66.70%,0%,21.30%,
,,,,,,,,,,,,,,,,,,,,
Mordekaiser,1,1.30%,-,1,1,0,1,0%,0,3,3,1,249,7.49,10.1,304,75%,0%,20%,
,,,,,,,,,,,,,,,,,,,,
Nami,1,1.30%,-,1,1,0,1,0%,0,3,1,0.33,10,0.44,4.1,181,20%,0%,12.20%,
,,,,,,,,,,,,,,,,,,,,
Nautilus,3,3.90%,1,2,2,1,1,50%,0.5,5,8,1.7,90,2.11,10.2,238,63%,3.70%,13.90%,
,,,,,,,,,,,,,,,,,,,,
Nidalee,1,1.30%,-,1,1,0,1,0%,0,4,3,0.75,129,5.25,6.9,280,60%,0%,18.80%,
,,,,,,,,,,,,,,,,,,,,
Nocturne,53,68.80%,31,22,13,15,7,68.20%,2,2.32,5.14,3.08,177.68,5.19,11.1,325,62.10%,17.40%,18.10%,
,,,,,,,,,,,,,,,,,,,,
Olaf,27,35.10%,11,16,13,7,9,43.80%,3.38,1.81,4.94,4.59,172.56,5.04,11.3,331,68.90%,28%,18.60%,
,,,,,,,,,,,,,,,,,,,,
Ornn,25,32.50%,13,12,8,10,2,83.30%,1.5,2.08,7.58,4.36,266.83,7.55,12.5,352,60.60%,10%,19.10%,
,,,,,,,,,,,,,,,,,,,,
Poppy,11,14.30%,3,8,7,2,6,25%,1,2.5,3.75,1.9,218.13,6.09,11.2,312,55.90%,11.80%,18.70%,
,,,,,,,,,,,,,,,,,,,,
Pyke,2,2.60%,2,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,
Rakan,56,72.70%,25,31,13,17,14,54.80%,0.94,2.35,8.29,3.92,17,0.54,7.7,243,74.90%,7.60%,13.70%,
,,,,,,,,,,,,,,,,,,,,
Rek'Sai,1,1.30%,-,1,1,1,0,100%,10,3,8,6,210,6.01,15.4,442,66.70%,37%,21.20%,
,,,,,,,,,,,,,,,,,,,,
Ryze,34,44.20%,17,17,13,8,9,47.10%,2.35,1.88,4,3.38,306.94,9.89,12.5,403,59.30%,22%,22.90%,
,,,,,,,,,,,,,,,,,,,,
Shen,28,36.40%,12,16,9,9,7,56.30%,1.31,2.13,6.38,3.62,160.88,4.99,10,309,65.40%,11.20%,17.40%,
,,,,,,,,,,,,,,,,,,,,
Singed,1,1.30%,-,1,1,1,0,100%,5,1,7,12,324,9.84,14.2,431,70.60%,29.40%,22.50%,
,,,,,,,,,,,,,,,,,,,,
Sion,44,57.10%,15,29,15,13,16,44.80%,0.9,2.03,5.76,3.27,244.31,7.54,10.8,334,59.60%,8%,19.40%,
,,,,,,,,,,,,,,,,,,,,
Sivir,27,35.10%,9,18,7,12,6,66.70%,3.44,1.67,6.33,5.87,366.33,10.81,15.5,456,71%,25%,25.30%,
,,,,,,,,,,,,,,,,,,,,
Skarner,11,14.30%,8,3,3,0,3,0%,1,3.33,6,2.1,174,4.88,10.6,298,75%,10.70%,17.80%,
,,,,,,,,,,,,,,,,,,,,
Swain,19,24.70%,8,11,6,5,6,45.50%,3.45,2.55,3.45,2.71,251.18,8.3,11.6,384,69.10%,34.50%,22%,
,,,,,,,,,,,,,,,,,,,,
Syndra,40,51.90%,21,19,12,9,10,47.40%,2.68,2.16,5.11,3.61,312.95,9.15,13.2,385,72.50%,25%,22.20%,
,,,,,,,,,,,,,,,,,,,,
Tahm Kench,50,64.90%,34,16,10,7,9,43.80%,0.5,2.25,5,2.44,67.06,1.97,8.2,243,60.70%,5.50%,13.70%,
,,,,,,,,,,,,,,,,,,,,
Taliyah,42,54.50%,25,17,10,10,7,58.80%,3.18,1.88,5.47,4.59,182.47,5.61,11.3,348,77%,28.30%,19.80%,
,,,,,,,,,,,,,,,,,,,,
Thresh,36,46.80%,15,21,11,9,12,42.90%,0.62,3.43,9.43,2.93,33.86,1.02,7.5,224,75.40%,4.60%,12.90%,
,,,,,,,,,,,,,,,,,,,,
Tristana,14,18.20%,5,9,7,4,5,44.40%,2.11,1,2.67,4.78,337.11,10.78,13.5,430,63.20%,27.90%,25.40%,
,,,,,,,,,,,,,,,,,,,,
Trundle,1,1.30%,-,1,1,0,1,0%,0,5,5,1,129,3.92,8.6,262,62.50%,0%,15.80%,
,,,,,,,,,,,,,,,,,,,,
Urgot,73,94.80%,45,28,17,13,15,46.40%,2.64,2.64,3.75,2.42,265.96,8.21,12.1,375,63.50%,26.20%,21.70%,
,,,,,,,,,,,,,,,,,,,,
Varus,22,28.60%,11,11,8,5,6,45.50%,2.91,2.27,3.82,2.96,283.82,9.45,12.3,411,67.90%,29.40%,23.40%,
,,,,,,,,,,,,,,,,,,,,
Vel'Koz,5,6.50%,3,2,2,1,1,50%,1.5,2,3.5,2.5,334,8.77,13.9,366,55.60%,16.70%,21.20%,
,,,,,,,,,,,,,,,,,,,,
Viktor,13,16.90%,6,7,4,3,4,42.90%,3,2.71,5.43,3.11,243.14,8.39,11.8,409,59.60%,21.20%,22.30%,
,,,,,,,,,,,,,,,,,,,,
Xayah,62,80.50%,28,34,15,17,17,50%,3.74,1.79,4.59,4.64,345.74,10.27,15,446,67.90%,30.50%,25%,
,,,,,,,,,,,,,,,,,,,,
Xin Zhao,44,57.10%,19,25,12,14,11,56%,2.72,2.36,5.64,3.54,151.68,4.83,10.4,332,65.90%,21.50%,18.50%,
,,,,,,,,,,,,,,,,,,,,
Yasuo,3,3.90%,2,1,1,1,0,100%,1,5,9,2,380,7.96,17.7,372,83.30%,8.30%,22%,
,,,,,,,,,,,,,,,,,,,,
Zac,3,3.90%,2,1,1,1,0,100%,0,0,10,10,138,4.95,9.1,326,76.90%,0%,17.10%,
,,,,,,,,,,,,,,,,,,,,
Zilean,9,11.70%,7,2,1,1,1,50%,7.5,2,8,7.75,339.5,9.43,16,444,86.10%,41.70%,24.90%,
,,,,,,,,,,,,,,,,,,,,
Zoe,3,3.90%,1,2,2,0,2,0%,1.5,3,4.5,2,331,8.51,13.7,352,80%,20%,22%,
Champion,G,PB%,B,G,By,W,L,WR,K,D,A,KDA,CS,CS/M,G,G/M,KPAR,KS,GS,As
,,,,,,,,,,,,,,,,,,,,
Pantheon,120,100%,119,1,1,1,0,100%,5,7,10,2.14,261,6.52,14.5,362,71.40%,23.80%,19.10%,
,,,,,,,,,,,,,,,,,,,,
Qiyana,109,90.80%,86,23,15,13,10,56.50%,4.09,3,5.7,3.26,191.65,5.95,11.5,359,60.30%,25.20%,19.60%,
,,,,,,,,,,,,,,,,,,,,
Xayah,102,85%,45,57,21,35,22,61.40%,4.39,1.75,4.86,5.27,339.32,10.27,15.4,467,68.90%,32.70%,25.50%,
,,,,,,,,,,,,,,,,,,,,
Syndra,96,80%,67,29,15,13,16,44.80%,3.45,2.55,4,2.92,315.52,8.86,14.2,400,59.30%,27.50%,22.50%,
,,,,,,,,,,,,,,,,,,,,
Renekton,95,79.20%,62,33,17,17,16,51.50%,2.85,2.64,3.42,2.38,262.27,7.85,13.1,391,47.60%,21.60%,21.40%,
,,,,,,,,,,,,,,,,,,,,
Akali,89,74.20%,54,35,20,17,18,48.60%,3.89,1.83,3.83,4.22,292.49,8.76,13.6,406,54%,27.20%,22.20%,
,,,,,,,,,,,,,,,,,,,,
Kai'Sa,88,73.30%,17,71,22,37,34,52.10%,4.69,1.9,4.11,4.63,307.1,9.58,14.5,453,65.20%,34.80%,24.90%,
,,,,,,,,,,,,,,,,,,,,
Gragas,83,69.20%,34,49,18,32,17,65.30%,1.88,2.78,7.53,3.39,128.57,3.86,10,301,66%,13.20%,16.40%,
,,,,,,,,,,,,,,,,,,,,
Nautilus,77,64.20%,25,52,21,28,24,53.80%,1.08,3.33,7.25,2.5,75,2.22,8.6,253,58.80%,7.60%,14%,
,,,,,,,,,,,,,,,,,,,,
Gangplank,72,60%,34,38,16,21,17,55.30%,2.53,2.61,6.26,3.37,278.5,8.03,14.5,417,63.60%,18.30%,22.80%,
,,,,,,,,,,,,,,,,,,,,
Lee Sin,71,59.20%,13,58,18,30,28,51.70%,2.66,2.5,5.97,3.45,159.55,4.84,10.8,329,67.80%,20.90%,18.00%,
,,,,,,,,,,,,,,,,,,,,
Rakan,71,59.20%,28,43,15,23,20,53.50%,0.51,2.26,9.21,4.31,18.19,0.54,8.3,247,76.70%,4%,13.80%,
,,,,,,,,,,,,,,,,,,,,
Kayle,67,55.80%,43,24,16,12,12,50%,2.33,2.92,6.04,2.87,279.54,8.55,13.4,409,63%,17.60%,22.50%,
,,,,,,,,,,,,,,,,,,,,
Elise,66,55%,34,32,15,16,16,50%,3.19,2.84,5.69,3.12,172.63,5.08,11.4,336,62.80%,22.60%,18.30%,
,,,,,,,,,,,,,,,,,,,,
LeBlanc,65,54.20%,44,21,13,11,10,52.40%,3.19,2.24,4,3.21,264.86,7.91,12.6,376,59.20%,26.30%,20.90%,
,,,,,,,,,,,,,,,,,,,,
Ryze,62,51.70%,26,36,16,22,14,61.10%,3.08,2.58,5.36,3.27,312.47,9.67,14.1,438,58.50%,21.30%,23.20%,
,,,,,,,,,,,,,,,,,,,,
Thresh,44,36.70%,9,35,15,16,19,45.70%,0.77,2.94,8.34,3.1,15.91,0.48,8.1,244,66.60%,5.60%,13.50%,
,,,,,,,,,,,,,,,,,,,,
Rek'Sai,43,35.80%,21,22,13,11,11,50%,3.14,2.41,4.64,3.23,170.64,5.12,11.2,337,59.60%,24%,18.40%,
,,,,,,,,,,,,,,,,,,,,
Tristana,39,32.50%,21,18,15,8,10,44.40%,3.56,2.56,3.33,2.7,314.33,8.94,14.8,421,59.60%,30.80%,24%,
,,,,,,,,,,,,,,,,,,,,
Yuumi,39,32.50%,26,13,6,5,8,38.50%,1.46,1.85,10,6.21,59.92,1.74,10.6,307,83.70%,10.70%,16.90%,
,,,,,,,,,,,,,,,,,,,,
Ezreal,36,30%,11,25,14,11,14,44%,3,2.2,4.12,3.24,332.92,9.66,15.1,439,66.40%,28%,24.80%,
,,,,,,,,,,,,,,,,,,,,
Vladimir,33,27.50%,16,17,7,9,8,52.90%,3.53,2.76,5.47,3.26,265.12,8.37,13.3,420,59.30%,23.30%,23.10%,
,,,,,,,,,,,,,,,,,,,,
Yasuo,33,27.50%,18,15,8,10,5,66.70%,2.6,2.53,5.47,3.18,279.87,9.05,13,421,64.40%,20.70%,22.80%,
,,,,,,,,,,,,,,,,,,,,
Jayce,32,26.70%,13,19,8,8,11,42.10%,2.79,3.05,4.16,2.28,270.84,8.48,13,407,64.70%,26%,22.90%,
,,,,,,,,,,,,,,,,,,,,
Twisted Fate,32,26.70%,23,9,6,4,5,44.40%,1.22,3,4.11,1.78,263.56,8.21,13.3,414,56.50%,12.90%,23.20%,
,,,,,,,,,,,,,,,,,,,,
Jarvan IV,31,25.80%,13,18,13,7,11,38.90%,1.17,2.83,7.78,3.16,149.78,4.52,10,301,80.90%,10.60%,17.30%,
,,,,,,,,,,,,,,,,,,,,
Leona,30,25%,10,20,11,13,7,65%,0.75,3.7,7.85,2.32,73,2.08,9,256,57.30%,5%,13.70%,
,,,,,,,,,,,,,,,,,,,,
Olaf,30,25%,20,10,7,6,4,60%,3.7,2.8,4.2,2.82,149.3,4.89,10.3,338,57.20%,26.80%,18.40%,
,,,,,,,,,,,,,,,,,,,,
Lucian,28,23.30%,12,16,12,5,11,31.30%,3.5,3.25,3.69,2.21,292.38,8.94,13.5,413,61.50%,29.90%,23.70%,
,,,,,,,,,,,,,,,,,,,,
Morgana,28,23.30%,19,9,4,5,4,55.60%,1.22,2.44,7.33,3.5,56.44,1.54,9.7,266,63.60%,9.10%,14.80%,
,,,,,,,,,,,,,,,,,,,,
Irelia,28,23.30%,20,8,8,3,5,37.50%,3.63,3.75,4.38,2.13,289.88,8.52,13.8,405,59.30%,26.90%,22.60%,
,,,,,,,,,,,,,,,,,,,,
Gnar,26,21.70%,8,18,11,11,7,61.10%,2.06,2.44,5.61,3.14,258.44,7.41,12.9,369,59.20%,15.90%,20.60%,
,,,,,,,,,,,,,,,,,,,,
Galio,25,20.80%,10,15,12,5,10,33.30%,1.33,3.27,6.73,2.47,157.33,4.93,9.5,299,67.20%,11.10%,17.20%,
,,,,,,,,,,,,,,,,,,,,
Pyke,25,20.80%,12,13,10,4,9,30.80%,1.77,3.31,4.54,1.91,72.54,2.3,9.1,288,60.30%,16.90%,16%,
,,,,,,,,,,,,,,,,,,,,
Rumble,23,19.20%,18,5,3,3,2,60%,4.6,2,7.6,6.1,223,7.16,12.1,388,77.20%,29.10%,21.20%,
,,,,,,,,,,,,,,,,,,,,
Camille,21,17.50%,7,14,10,8,6,57.10%,2.5,2.64,5.29,2.95,252.14,7.98,12.3,388,61.60%,19.80%,21.30%,
,,,,,,,,,,,,,,,,,,,,
Alistar,21,17.50%,7,14,8,5,9,35.70%,0.43,3.64,5.57,1.65,44.71,1.54,6.4,221,59.60%,4.30%,12.90%,
,,,,,,,,,,,,,,,,,,,,
Kled,21,17.50%,12,9,7,5,4,55.60%,2.56,1.67,3.67,3.73,240.89,7.63,11.4,362,51.90%,21.30%,20.50%,
,,,,,,,,,,,,,,,,,,,,
Nocturne,20,16.70%,8,12,10,3,9,25%,1.83,3.42,6.08,2.32,176.75,5.22,10.7,315,72.50%,16.80%,18.60%,
,,,,,,,,,,,,,,,,,,,,
Heimerdinger,20,16.70%,13,7,4,4,3,57.10%,2.86,2.43,6.71,3.94,282.57,7.15,14.7,371,61.50%,18.30%,20.20%,
,,,,,,,,,,,,,,,,,,,,
Skarner,17,14.20%,9,8,7,1,7,12.50%,0.5,3.25,7.25,2.38,155,4.2,10.2,277,72.10%,4.70%,16.40%,
,,,,,,,,,,,,,,,,,,,,
Ornn,16,13.30%,6,10,7,7,3,70%,1.7,2.7,7.2,3.3,176.2,5.6,10.2,324,58.60%,11.20%,17.40%,
,,,,,,,,,,,,,,,,,,,,
Orianna,15,12.50%,2,13,9,7,6,53.80%,2.08,2.62,7,3.47,309.08,8.49,14,385,69.40%,15.90%,21.50%,
,,,,,,,,,,,,,,,,,,,,
Veigar,15,12.50%,9,6,5,3,3,50%,3.17,1.67,5.83,5.4,255.17,8.19,12.3,395,72%,25.30%,22.10%,
,,,,,,,,,,,,,,,,,,,,
Blitzcrank,14,11.70%,6,8,6,3,5,37.50%,1.38,4.25,6.75,1.91,17.13,0.47,9.3,256,49.20%,8.30%,13.90%,
,,,,,,,,,,,,,,,,,,,,
Aatrox,13,10.80%,2,11,9,5,6,45.50%,2.55,2.55,3.64,2.43,211.45,7.4,10.6,372,56.20%,23.10%,21.30%,
,,,,,,,,,,,,,,,,,,,,
Taliyah,13,10.80%,4,9,4,6,3,66.70%,3.11,2,6.56,4.83,169.11,5.26,11.1,345,65.40%,21.10%,18.30%,
,,,,,,,,,,,,,,,,,,,,
Cassiopeia,13,10.80%,5,8,5,4,4,50%,3,3.88,5.5,2.19,272.88,8.33,13.1,399,59.60%,21.10%,22%,
,,,,,,,,,,,,,,,,,,,,
Quinn,13,10.80%,9,4,4,2,2,50%,3.75,3.25,3,2.08,281.25,8.43,13.6,407,54%,30%,22.90%,
,,,,,,,,,,,,,,,,,,,,
Kennen,12,10%,5,7,4,5,2,71.40%,2.57,2.86,6.29,3.1,251.86,7.89,12.7,398,56.90%,16.50%,20.90%,
,,,,,,,,,,,,,,,,,,,,
Tahm Kench,11,9.20%,4,7,4,5,2,71.40%,1.14,2.43,13.86,6.18,87.14,2.48,10.2,291,77.20%,5.90%,15.00%,
,,,,,,,,,,,,,,,,,,,,
Varus,10,8.30%,1,9,4,6,3,66.70%,6.44,2.67,7.22,5.13,312.67,9.42,15.6,470,69.90%,33%,24.80%,
,,,,,,,,,,,,,,,,,,,,
Shen,10,8.30%,2,8,7,3,5,37.50%,1.75,4.88,5.63,1.51,160.88,4.81,10.3,307,67%,15.90%,17.70%,
,,,,,,,,,,,,,,,,,,,,
Draven,10,8.30%,7,3,2,2,1,66.70%,4,2,5.33,4.67,266.67,9.38,13.3,466,70%,30%,24.30%,
,,,,,,,,,,,,,,,,,,,,
Corki,9,7.50%,1,8,5,4,4,50%,2.63,2,3.75,3.19,340,9.62,15.1,428,60.70%,25%,23.80%,
,,,,,,,,,,,,,,,,,,,,
Garen,9,7.50%,1,8,4,3,5,37.50%,3.5,3.13,6.5,3.2,294.75,7.68,14.5,377,60.20%,21.10%,20.60%,
,,,,,,,,,,,,,,,,,,,,
Lissandra,9,7.50%,3,6,6,3,3,50%,1.83,2.5,4.17,2.4,256.83,8.22,11.6,371,57.10%,17.50%,20.80%,
,,,,,,,,,,,,,,,,,,,,
Karthus,8,6.70%,3,5,4,1,4,20%,2.4,2.6,2.8,2,220.6,6.31,12.1,346,56.50%,26.10%,20.30%,
,,,,,,,,,,,,,,,,,,,,
Fiora,8,6.70%,4,4,4,2,2,50%,3.5,4,4,1.88,351.25,9.71,17.1,472,52.60%,24.60%,24.50%,
,,,,,,,,,,,,,,,,,,,,
Karma,8,6.70%,4,4,4,2,2,50%,1.25,2.75,7.75,3.27,139.5,3.84,10.5,289,76.60%,10.60%,16.40%,
,,,,,,,,,,,,,,,,,,,,
Caitlyn,8,6.70%,4,4,4,0,4,0%,2.5,3.5,2.5,1.43,289.75,9.43,12.4,404,51.30%,25.60%,25%,
,,,,,,,,,,,,,,,,,,,,
Sion,7,5.80%,-,7,6,1,6,14.30%,1,2.86,3.43,1.55,262,7.54,11.4,328,57.40%,13%,19.80%,
,,,,,,,,,,,,,,,,,,,,
Neeko,7,5.80%,1,6,5,3,3,50%,1.83,2.67,5.67,2.81,229.33,7.52,10.8,355,59.20%,14.50%,19.70%,
,,,,,,,,,,,,,,,,,,,,
Mordekaiser,7,5.80%,1,6,4,0,6,0%,3.67,3.83,3,1.74,275.17,7.56,13.8,380,42.10%,23.20%,21.40%,
,,,,,,,,,,,,,,,,,,,,
Ashe,7,5.80%,3,4,4,2,2,50%,3.25,2,6.75,5,272,8.76,12.5,402,66.70%,21.70%,22.80%,
,,,,,,,,,,,,,,,,,,,,
Vayne,7,5.80%,5,2,1,2,0,100%,3,1.5,6,6,300,9.6,14.3,457,51.40%,17.10%,22.60%,
,,,,,,,,,,,,,,,,,,,,
Cho'Gath,6,5%,1,5,3,2,3,40%,3.4,2.2,4.8,3.73,248,7.02,12.8,362,50.60%,21%,19.90%,
,,,,,,,,,,,,,,,,,,,,
Sivir,6,5%,2,4,4,2,2,50%,3.75,1.75,4.5,4.71,391.75,10.41,16.8,446,62.30%,28.30%,24.70%,
,,,,,,,,,,,,,,,,,,,,
Jax,6,5%,5,1,1,1,0,100%,1,0,1,2,240,8.59,10.3,367,18.20%,9.10%,19.90%,
,,,,,,,,,,,,,,,,,,,,
Zoe,5,4.20%,-,5,5,2,3,40%,2.8,1,5.8,8.6,240.8,7.36,12,368,57.30%,18.70%,19.50%,
,,,,,,,,,,,,,,,,,,,,
Azir,5,4.20%,-,5,4,1,4,20%,2.2,2.6,2.4,1.77,263.2,9.03,11.1,381,62.20%,29.70%,23.10%,
,,,,,,,,,,,,,,,,,,,,
Ekko,5,4.20%,-,5,4,1,4,20%,1.6,4.4,5.2,1.55,164.8,4.86,10.2,301,73.90%,17.40%,18.20%,
,,,,,,,,,,,,,,,,,,,,
Jinx,4,3.30%,1,3,3,1,2,33.30%,3,1.67,4.33,4.4,300.67,9.9,13.3,438,62.90%,25.70%,24.30%,
,,,,,,,,,,,,,,,,,,,,
Jhin,4,3.30%,2,2,1,1,1,50%,6.5,1,7,13.5,427,10.11,20.4,483,58.70%,28.30%,25.10%,
,,,,,,,,,,,,,,,,,,,,
Braum,4,3.30%,3,1,1,0,1,0%,1,3,3,1.33,84,2.16,9.8,251,23.50%,5.90%,14.20%,
,,,,,,,,,,,,,,,,,,,,
Poppy,3,2.50%,-,3,3,1,2,33.30%,2,4.67,8.33,2.21,183,5.01,11.2,307,66%,12.80%,17.30%,
,,,,,,,,,,,,,,,,,,,,
Fiddlesticks,3,2.50%,1,2,2,2,0,100%,1,2,8.5,4.75,22.5,0.62,8.8,243,61.30%,6.50%,13%,
,,,,,,,,,,,,,,,,,,,,
Sylas,3,2.50%,1,2,2,0,2,0%,2.5,4,7,2.38,241.5,6.3,12.8,333,55.90%,14.70%,19.50%,
,,,,,,,,,,,,,,,,,,,,
Hecarim,2,1.70%,-,2,1,1,1,50%,5.5,2,4.5,5,163.5,5.43,11.4,377,66.70%,36.70%,20.40%,
,,,,,,,,,,,,,,,,,,,,
Kha'Zix,2,1.70%,-,2,2,1,1,50%,2.5,4.5,5.5,1.78,189.5,4.99,12.9,340,64%,20%,18.70%,
,,,,,,,,,,,,,,,,,,,,
Lulu,2,1.70%,-,2,2,1,1,50%,0.5,2.5,10.5,4.4,24.5,0.64,9.3,244,88%,4%,14%,
,,,,,,,,,,,,,,,,,,,,
Sejuani,2,1.70%,-,2,2,0,2,0%,0.5,2.5,1,0.6,129,4.73,7.6,279,100%,33.30%,19.30%,
,,,,,,,,,,,,,,,,,,,,
Sona,2,1.70%,1,1,1,0,1,0%,1,3,5,2,257,5.91,18.4,424,75%,12.50%,22.70%,
,,,,,,,,,,,,,,,,,,,,
Volibear,2,1.70%,1,1,1,0,1,0%,1,4,6,1.75,35,1.31,5.6,210,77.80%,11.10%,13.20%,
,,,,,,,,,,,,,,,,,,,,
Kalista,2,1.70%,2,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,
Kog'Maw,1,0.80%,-,1,1,1,0,100%,12,6,8,3.33,402,9.16,22.4,509,90.90%,54.50%,26.90%,
,,,,,,,,,,,,,,,,,,,,
Malphite,1,0.80%,-,1,1,1,0,100%,3,1,9,12,245,8.55,12.1,424,60%,15%,20.30%,
,,,,,,,,,,,,,,,,,,,,
Urgot,1,0.80%,-,1,1,1,0,100%,8,5,10,3.6,287,5.9,20.3,418,72%,32%,21%,
,,,,,,,,,,,,,,,,,,,,
Yorick,1,0.80%,-,1,1,1,0,100%,2,2,3,2.5,254,8.18,12.6,407,27.80%,11.10%,20%,
,,,,,,,,,,,,,,,,,,,,
Anivia,1,0.80%,-,1,1,0,1,0%,1,2,0,0.5,362,11.21,12.8,397,25%,25%,24.60%,
,,,,,,,,,,,,,,,,,,,,
Bard,1,0.80%,-,1,1,0,1,0%,0,7,10,1.43,31,0.79,9.1,233,83.30%,0%,13.80%,
,,,,,,,,,,,,,,,,,,,,
Lux,1,0.80%,-,1,1,0,1,0%,0,3,1,0.33,15,0.49,6.2,204,50%,0%,12.80%,
,,,,,,,,,,,,,,,,,,,,
Nidalee,1,0.80%,-,1,1,0,1,0%,1,2,1,1,102,4.49,6.3,278,100%,50%,19.60%,
,,,,,,,,,,,,,,,,,,,,
Rengar,1,0.80%,-,1,1,0,1,0%,5,4,0,1.25,208,7.96,10.6,404,50%,50%,23.10%,
,,,,,,,,,,,,,,,,,,,,
Vi,1,0.80%,-,1,1,0,1,0%,0,7,4,0.57,113,3.64,7.8,250,36.40%,0%,14.90%,
,,,,,,,,,,,,,,,,,,,,
Viktor,1,0.80%,-,1,1,0,1,0%,1,2,2,1.5,245,7.52,10.2,314,60%,20%,19.50%,
,,,,,,,,,,,,,,,,,,,,
Xin Zhao,1,0.80%,-,1,1,0,1,0%,3,3,2,1.67,179,5.24,11.4,333,55.60%,33.30%,19.60%,
,,,,,,,,,,,,,,,,,,,,
Ziggs,1,0.80%,-,1,1,0,1,0%,5,1,4,9,539,8.5,24.2,382,56.30%,31.30%,23.30%,
,,,,,,,,,,,,,,,,,,,,
Zilean,1,0.80%,-,1,1,0,1,0%,1,1,1,2,271,9.19,10.1,343,100%,50%,23.20%,
Champion,G,PB%,B,G,By,W,L,WR,K,D,A,KDA,CS,CS/M,G,G/M,KPAR,KS,GS,As
,,,,,,,,,,,,,,,,,,,,
Ornn,102,89.50%,62,40,17,24,16,60%,1.7,2,7.2,4.45,236.03,7.36,11.3,354,64%,12.20%,19.80%,
,,,,,,,,,,,,,,,,,,,,
Nidalee,102,89.50%,71,31,14,18,13,58.10%,3.23,2.19,6.19,4.29,215.97,6.74,11.7,365,70.20%,24%,20.30%,
,,,,,,,,,,,,,,,,,,,,
Graves,99,86.80%,30,69,21,35,34,50.70%,3.61,2.38,5.26,3.73,218.49,6.87,11.8,370,68.20%,27.80%,20.80%,
,,,,,,,,,,,,,,,,,,,,
Lucian,94,82.50%,78,16,13,9,7,56.30%,4,2.88,4.25,2.87,287.88,8.89,13.8,427,62.90%,30.50%,23.80%,
,,,,,,,,,,,,,,,,,,,,
Syndra,84,73.70%,47,37,15,19,18,51.40%,3.24,2.49,5.08,3.35,289.32,8.83,13,396,60.30%,23.50%,22.50%,
,,,,,,,,,,,,,,,,,,,,
Camille,80,70.20%,53,27,15,15,12,55.60%,3.85,3.15,4.89,2.78,260.48,7.97,13.3,408,55.30%,24.40%,22.40%,
,,,,,,,,,,,,,,,,,,,,
Renekton,79,69.30%,46,33,14,13,20,39.40%,2.33,3.48,4.18,1.87,259.48,8.03,12.3,380,54.20%,19.40%,21.80%,
,,,,,,,,,,,,,,,,,,,,
Twisted Fate,78,68.40%,55,23,10,13,10,56.50%,3.22,2.26,7.61,4.79,262.7,8.43,13.5,434,73.50%,21.80%,23.30%,
,,,,,,,,,,,,,,,,,,,,
Orianna,73,64%,34,39,18,25,14,64.10%,3.69,1.9,6.03,5.12,303.87,9.03,14,417,69.40%,26.40%,23.20%,
,,,,,,,,,,,,,,,,,,,,
Lillia,71,62.30%,30,41,14,17,24,41.50%,2.8,3.17,6.66,2.98,208.32,6.5,11.3,352,70.50%,20.90%,20%,
,,,,,,,,,,,,,,,,,,,,
Ashe,70,61.40%,28,42,19,17,25,40.50%,2.86,2.64,5.67,3.23,296.14,9.09,13.4,412,66.80%,22.40%,23.50%,
,,,,,,,,,,,,,,,,,,,,
Leona,67,58.80%,25,42,14,26,16,61.90%,0.83,3.12,7.24,2.59,37.48,1.16,7.4,231,57.10%,5.90%,12.70%,
,,,,,,,,,,,,,,,,,,,,
Sett,66,57.90%,34,32,23,15,17,46.90%,2.09,3.13,6.28,2.68,160.59,4.94,10.2,315,58%,14.50%,17.60%,
,,,,,,,,,,,,,,,,,,,,
Senna,64,56.10%,18,46,20,21,25,45.70%,1.8,2.11,7.83,4.57,222.04,7.04,11.4,361,75.60%,14.20%,20.60%,
,,,,,,,,,,,,,,,,,,,,
Ezreal,58,50.90%,24,34,14,20,14,58.80%,3.94,2.5,5.03,3.59,296.09,8.82,14,417,65.60%,28.80%,23.40%,
,,,,,,,,,,,,,,,,,,,,
